工作簿行号,晶片转角示数_deg,左峰_ms,右峰_ms,峰间距_ms,频差_MHz
24,2.2,-5.05,-3.80,1.25,529.17
35,2.3,-4.60,-4.40,0.20,84.67
36,2.4,1.75,2.85,1.10,465.67
37,2.6,2.10,2.30,0.20,84.67
38,2.8,-5.40,-4.20,1.20,508.00
39,2.9,-4.90,-3.45,1.45,613.83
40,3.0,-4.60,-3.00,1.60,677.33
41,3.1,-5.50,-4.20,1.30,550.33
25,3.2,-4.85,-3.35,1.50,635.00
42,3.4,-4.65,-3.20,1.45,613.83
43,3.6,-5.30,-3.90,1.40,592.67
26,4.2,-3.20,-1.80,1.40,592.67
27,5.2,-3.50,-2.05,1.45,613.83
28,6.2,-4.35,-3.10,1.25,529.17
29,7.2,-4.45,-3.00,1.45,613.83
30,8.2,-4.90,-3.40,1.50,635.00
31,9.2,-6.25,-4.75,1.50,635.00
32,10.2,-4.90,-4.15,0.75,317.50
33,11.2,8.25,8.90,0.65,275.17
34,12.2,1.90,2.65,0.75,317.50
